rank,player_id,player_name,tracked_fga,tracked_2pa,tracked_2pm,expected_2pt_makes,successful_games,failed_games,pbp_fga_global,two_fg_pct,two_xfg_pct,fg_minus_xfg_pp,xfg_coverage_pct_vs_pbp_fga
124,1642848,Tre Johnson,574,284,138,131.498,56,4,647,48.59154929577465,46.30211267605633,2.289436619718316,88.71715610510046
125,1642263,Reed Sheppard,794,305,157,150.022,74,8,946,51.47540983606557,49.18754098360655,2.2878688524590203,83.9323467230444
126,1641718,Keyonte George,790,456,243,232.60000000000002,50,4,881,53.28947368421053,51.00877192982457,2.2807017543859587,89.67082860385925
127,1641739,Toumani Camara,713,236,142,136.725,70,12,891,60.16949152542373,57.934322033898304,2.2351694915254257,80.02244668911335
128,1630552,Jalen Johnson,1020,738,405,388.737,66,6,1228,54.8780487804878,52.674390243902444,2.2036585365853583,83.06188925081433
129,1627783,Pascal Siakam,1041,771,416,399.108,58,4,1155,53.95590142671855,51.76498054474708,2.190920881971465,90.12987012987013
130,1630572,Sandro Mamukelashvili,588,307,203,196.33,77,3,631,66.12377850162866,63.95114006514658,2.1726384364820817,93.18541996830427
131,1628975,Jevon Carter,259,73,33,31.471000000000004,45,6,307,45.205479452054796,43.110958904109594,2.0945205479452014,84.36482084690553
132,1642843,Cooper Flagg,995,785,420,403.57500000000005,65,5,1194,53.503184713375795,51.41082802547771,2.092356687898082,83.33333333333333
133,203484,Kentavious Caldwell-Pope,334,177,91,87.38900000000001,48,3,366,51.41242937853107,49.3723163841808,2.040112994350274,91.2568306010929
134,1630567,Scottie Barnes,1024,815,467,450.41200000000003,76,4,1123,57.30061349693251,55.26527607361964,2.0353374233128747,91.18432769367764
135,1641765,Olivier-Maxence Prosper,297,166,109,105.624,47,3,350,65.66265060240964,63.6289156626506,2.033734939759043,84.85714285714286
136,1630538,Bones Hyland,458,163,92,88.708,67,0,468,56.441717791411044,54.422085889570546,2.019631901840498,97.86324786324786
137,1630551,Justin Champagnie,370,236,151,146.256,60,6,462,63.983050847457626,61.9728813559322,2.0101694915254242,80.08658008658008
138,1641796,Pelle Larsson,457,291,180,174.276,65,4,559,61.855670103092784,59.88865979381444,1.9670103092783435,81.7531305903399
139,1630530,Trey Murphy III,919,419,253,244.806,60,6,1050,60.381861575178995,58.42625298329356,1.9556085918854365,87.52380952380952
140,1629013,Landry Shamet,333,90,52,50.246,48,2,364,57.77777777777778,55.82888888888889,1.948888888888888,91.48351648351648
141,202331,Paul George,479,238,118,113.65,36,1,513,49.57983193277311,47.752100840336134,1.8277310924369772,93.37231968810916
142,1630183,Jaden McDaniels,769,522,290,280.504,72,1,809,55.55555555555556,53.736398467432956,1.8191570881226014,95.05562422744129
143,1628969,Mikal Bridges,883,496,293,284.70399999999995,77,4,963,59.07258064516129,57.39999999999999,1.6725806451612968,91.6926272066459
144,1631165,Keon Ellis,360,123,75,72.943,66,2,384,60.97560975609756,59.30325203252033,1.6723577235772353,93.75
145,1631172,Ousmane Dieng,305,154,76,73.468,49,7,398,49.35064935064935,47.70649350649351,1.64415584415584,76.63316582914572
146,1631126,Caleb Love,407,161,80,77.381,43,5,490,49.68944099378882,48.062732919254664,1.6267080745341573,83.06122448979592
147,1630163,LaMelo Ball,1090,441,214,207.244,67,5,1244,48.52607709750567,46.99410430839003,1.5319727891156418,87.62057877813506
148,1642852,Derik Queen,641,558,294,285.524,75,6,748,52.68817204301075,51.16917562724014,1.5189964157706086,85.6951871657754
149,2544,LeBron James,833,613,357,348.423,56,4,919,58.23817292006525,56.83898858075041,1.3991843393148429,90.64200217627857
150,1630702,Jaden Hardy,350,131,64,62.168,51,4,429,48.85496183206107,47.45648854961832,1.398473282442751,81.58508158508158
151,1630311,Pat Spencer,391,241,118,114.691,58,4,436,48.96265560165975,47.5896265560166,1.3730290456431504,89.6788990825688
152,1642272,Jared McCain,434,201,97,94.301,60,5,480,48.25870646766169,46.91592039800995,1.342786069651737,90.41666666666667
153,1630191,Isaiah Stewart,341,234,146,142.875,54,4,402,62.39316239316239,61.05769230769231,1.3354700854700852,84.82587064676616
154,1628970,Miles Bridges,904,511,279,272.50600000000003,70,7,1042,54.59882583170254,53.3279843444227,1.2708414872798386,86.75623800383877
155,1630241,Sam Merrill,442,95,54,52.984,49,3,484,56.8421052631579,55.772631578947376,1.0694736842105215,91.32231404958678
156,1626167,Myles Turner,572,217,120,117.681,69,2,646,55.29953917050691,54.230875576036865,1.0686635944700456,88.54489164086688
157,1630591,Jalen Suggs,531,234,128,125.50499999999998,49,8,649,54.7008547008547,53.63461538461538,1.0662393162393187,81.81818181818181
158,1630245,Ayo Dosunmu,682,415,239,234.62800000000001,66,3,747,57.59036144578313,56.536867469879525,1.0534939759036064,91.29852744310575
159,1626162,Kelly Oubre Jr.,435,240,130,127.519,45,5,544,54.166666666666664,53.132916666666674,1.0337499999999906,79.96323529411765
160,1628401,Derrick White,1012,419,213,208.84799999999998,73,4,1108,50.83532219570406,49.844391408114554,0.9909307875895053,91.33574007220217
161,1641764,Brandin Podziemski,786,407,219,214.976,77,5,866,53.80835380835381,52.819656019656016,0.9886977886977917,90.7621247113164
162,1629001,De'Anthony Melton,487,253,134,131.553,48,1,528,52.96442687747036,51.997233201581025,0.9671936758893338,92.23484848484848
163,1631230,Dominick Barlow,339,266,172,169.428,66,3,400,64.66165413533835,63.69473684210526,0.9669172932330952,84.75
164,1630173,Precious Achiuwa,534,443,265,260.872,70,2,598,59.81941309255079,58.88758465011287,0.9318284424379186,89.29765886287625
165,203935,Marcus Smart,444,170,85,83.567,60,2,476,50.0,49.157058823529404,0.8429411764705961,93.27731092436974
166,1631101,Shaedon Sharpe,727,474,247,243.437,45,5,868,52.10970464135021,51.358016877637134,0.751687763713079,83.7557603686636
167,1627884,Derrick Jones Jr.,330,197,125,123.54400000000001,47,3,379,63.45177664974619,62.712690355329954,0.7390862944162393,87.0712401055409
168,1629012,Collin Sexton,662,406,216,213.125,64,4,742,53.20197044334975,52.49384236453202,0.7081280788177295,89.21832884097034
