rank_all,player_id,player_name,pbp_fga_global,successful_games,failed_games,attempts,makes,expected_makes,fg_pct,xfg_pct,fg_minus_xfg_pp
87,1628386,Jarrett Allen,528,33,15,55,31,28.146,56.36363636363637,51.17454545454545,5.189090909090915
88,1629018,Gary Trent Jr.,473,32,12,36,18,16.167,50.0,44.90833333333334,5.0916666666666615
89,1630170,Devin Vassell,755,48,17,113,57,51.317,50.442477876106196,45.41327433628319,5.029203539823008
90,1630173,Precious Achiuwa,598,29,18,60,33,30.023,55.0,50.038333333333334,4.961666666666666
91,1631157,Ryan Rollins,1030,51,19,112,57,51.483000000000004,50.892857142857146,45.96696428571429,4.9258928571428555
92,1642843,Cooper Flagg,1194,37,32,106,54,48.826,50.943396226415096,46.0622641509434,4.881132075471697
93,1641739,Toumani Camara,891,22,15,23,13,11.919,56.52173913043478,51.821739130434786,4.699999999999996
94,1628404,Josh Hart,592,36,20,51,27,24.626,52.94117647058823,48.28627450980392,4.654901960784315
95,1630560,Cam Thomas,460,28,13,77,36,32.505,46.753246753246756,42.21428571428572,4.538961038961034
96,1642345,Oso Ighodaro,366,28,17,44,25,23.024,56.81818181818182,52.32727272727273,4.490909090909092
97,1641729,Brice Sensabaugh,857,39,23,82,41,37.378,50.0,45.582926829268295,4.417073170731705
98,1642262,Cody Williams,509,20,14,37,19,17.395,51.351351351351354,47.013513513513516,4.337837837837839
99,1642875,Maxime Raynaud,671,36,27,108,58,53.586,53.7037037037037,49.61666666666666,4.087037037037042
100,201950,Jrue Holiday,709,32,17,62,30,27.486,48.38709677419355,44.332258064516125,4.054838709677426
101,1628969,Mikal Bridges,963,52,25,134,68,62.658,50.74626865671642,46.75970149253732,3.9865671641790996
102,1642851,Kon Knueppel,1084,57,14,98,52,48.107,53.06122448979592,49.08877551020408,3.9724489795918387
103,1641757,Jordan Miller,399,23,12,35,17,15.61,48.57142857142857,44.6,3.971428571428568
104,1630581,Josh Giddey,717,32,8,61,29,26.828,47.540983606557376,43.980327868852456,3.56065573770492
105,1630178,Tyrese Maxey,1501,46,22,129,57,52.463,44.18604651162791,40.66899224806202,3.517054263565889
106,1630162,Anthony Edwards,1231,42,19,120,58,53.785,48.333333333333336,44.82083333333333,3.512500000000003
107,1629012,Collin Sexton,742,47,11,72,36,33.501,50.0,46.52916666666667,3.4708333333333314
108,1642281,Jaylon Tyson,670,33,13,48,26,24.427,54.166666666666664,50.88958333333333,3.277083333333337
109,1629004,Svi Mykhailiuk,362,18,3,21,11,10.324,52.38095238095238,49.161904761904765,3.2190476190476147
110,1642856,Egor Dëmin,449,25,4,17,8,7.456,47.05882352941177,43.858823529411765,3.200000000000003
111,1628368,De'Aaron Fox,1047,53,18,178,89,83.345,50.0,46.82303370786517,3.1769662921348285
112,1629028,Deandre Ayton,601,42,17,99,53,49.928000000000004,53.535353535353536,50.432323232323235,3.1030303030303017
113,1629675,Naz Reid,871,39,17,74,32,29.717,43.24324324324324,40.1581081081081,3.0851351351351397
114,201935,James Harden,1123,42,20,91,42,39.342,46.15384615384615,43.23296703296703,2.920879120879121
115,1628976,Wendell Carter Jr.,637,47,17,66,37,35.222,56.06060606060606,53.366666666666674,2.693939393939388
116,1630631,Jose Alvarado,449,18,11,23,10,9.403,43.47826086956522,40.88260869565217,2.595652173913045
117,1629661,Cameron Johnson,475,29,12,32,15,14.181000000000001,46.875,44.315625000000004,2.5593749999999957
118,1626164,Devin Booker,1198,43,21,204,95,89.914,46.568627450980394,44.07549019607843,2.493137254901967
119,1629614,Andrew Nembhard,753,45,12,122,60,56.972,49.18032786885246,46.6983606557377,2.481967213114757
120,201572,Brook Lopez,542,31,14,49,22,20.839,44.89795918367347,42.52857142857142,2.3693877551020535
121,1641718,Keyonte George,881,42,11,104,47,44.6,45.19230769230769,42.88461538461539,2.3076923076923066
122,1631097,Bennedict Mathurin,677,40,9,85,39,37.043,45.88235294117647,43.58,2.3023529411764727
123,1628401,Derrick White,1108,50,22,138,64,60.863,46.3768115942029,44.1036231884058,2.2731884057971
124,1629630,Ja Morant,322,18,2,76,35,33.375,46.05263157894737,43.91447368421053,2.1381578947368425
125,1630595,Cade Cunningham,1189,49,13,154,71,67.886,46.103896103896105,44.08181818181818,2.0220779220779264
126,1631260,AJ Green,618,23,6,20,9,8.609,45.0,43.045,1.9549999999999983
127,1641705,Victor Wembanyama,1080,44,19,126,56,53.620000000000005,44.44444444444444,42.55555555555556,1.8888888888888857
128,203944,Julius Randle,1207,53,24,148,72,69.267,48.648648648648646,46.80202702702702,1.8466216216216225
129,1642848,Tre Johnson,647,39,19,99,46,44.176,46.464646464646464,44.62222222222223,1.8424242424242365
130,1629638,Nickeil Alexander-Walker,1195,62,11,103,47,45.263,45.63106796116505,43.94466019417476,1.6864077669902926
131,1642383,Walter Clayton Jr.,461,26,14,37,18,17.436,48.648648648648646,47.12432432432432,1.5243243243243256
132,1628370,Malik Monk,632,35,19,84,39,37.898,46.42857142857143,45.11666666666667,1.3119047619047635
133,1629628,RJ Barrett,816,30,15,68,29,28.168,42.64705882352941,41.423529411764704,1.2235294117647086
134,1627783,Pascal Siakam,1155,49,13,236,114,111.32900000000001,48.30508474576271,47.17330508474577,1.1317796610169424
135,1630168,Onyeka Okongwu,859,46,10,75,34,33.249,45.333333333333336,44.332,1.001333333333335
136,1630583,Santi Aldama,476,31,7,61,28,27.503,45.90163934426229,45.08688524590164,0.8147540983606518
137,1642259,Alex Sarr,656,32,15,74,35,34.474,47.2972972972973,46.58648648648648,0.7108108108108198
138,1629008,Michael Porter Jr.,958,42,9,78,35,34.523,44.87179487179487,44.26025641025641,0.6115384615384585
139,1642907,Cedric Coward,648,36,17,63,30,29.634,47.61904761904762,47.03809523809524,0.5809523809523824
140,1626162,Kelly Oubre Jr.,544,20,14,45,22,21.752,48.888888888888886,48.337777777777774,0.551111111111112
141,203903,Jordan Clarkson,526,34,15,63,27,26.659,42.857142857142854,42.31587301587302,0.5412698412698376
142,1630552,Jalen Johnson,1228,57,13,202,92,91.016,45.54455445544554,45.05742574257426,0.48712871287128223
143,1630567,Scottie Barnes,1123,52,27,188,90,89.144,47.87234042553192,47.417021276595754,0.4553191489361623
144,203484,Kentavious Caldwell-Pope,366,33,9,33,16,15.908000000000001,48.484848484848484,48.20606060606061,0.2787878787878739
145,202710,Jimmy Butler III,461,30,4,68,34,33.832,50.0,49.75294117647059,0.24705882352940733
146,1628374,Lauri Markkanen,805,29,11,62,27,26.883,43.54838709677419,43.35967741935483,0.18870967741936084
147,1630183,Jaden McDaniels,809,44,23,101,46,45.859,45.54455445544554,45.40495049504951,0.1396039603960304
148,1630568,Luka Garza,357,22,10,31,18,17.964,58.064516129032256,57.94838709677419,0.11612903225806548
149,1627780,Gary Payton II,415,18,5,18,11,10.98,61.111111111111114,61.0,0.11111111111111427
150,1642962,Drake Powell,358,27,17,39,18,17.969,46.15384615384615,46.07435897435898,0.07948717948717388
151,203994,Jusuf Nurkić,358,23,6,46,23,23.007,50.0,50.015217391304354,-0.015217391304354067
152,1642867,Collin Murray-Boyles,342,19,10,19,11,11.026,57.89473684210526,58.031578947368416,-0.1368421052631561
153,1630311,Pat Spencer,436,30,17,66,29,29.122,43.93939393939394,44.124242424242425,-0.18484848484848726
154,1631221,Collin Gillespie,842,39,26,81,34,34.175,41.97530864197531,42.191358024691354,-0.21604938271604368
155,1629632,Coby White,623,28,12,37,16,16.118,43.24324324324324,43.56216216216216,-0.3189189189189179
156,1630533,Ziaire Williams,433,15,7,18,8,8.126,44.44444444444444,45.14444444444444,-0.6999999999999957
157,1642266,Ja'Kobe Walter,404,16,10,20,8,8.141,40.0,40.705,-0.7049999999999983
158,1642264,Stephon Castle,815,42,18,107,52,52.903,48.598130841121495,49.442056074766356,-0.8439252336448604
159,1630530,Trey Murphy III,1050,39,15,80,35,35.682,43.75,44.602500000000006,-0.8525000000000063
160,1642276,Kel'el Ware,649,31,10,45,25,25.465,55.55555555555556,56.58888888888889,-1.0333333333333314
161,202691,Klay Thompson,728,39,19,44,18,18.462,40.90909090909091,41.95909090909091,-1.0500000000000043
162,1631096,Chet Holmgren,779,49,16,90,43,44.049,47.77777777777778,48.94333333333333,-1.1655555555555495
163,1627751,Jakob Poeltl,310,25,11,49,25,25.697000000000003,51.02040816326531,52.44285714285715,-1.4224489795918416
164,1629645,Kevin Porter Jr.,514,26,12,54,23,24.015,42.592592592592595,44.47222222222222,-1.8796296296296262
165,1630558,Davion Mitchell,534,32,14,35,16,16.678,45.714285714285715,47.651428571428575,-1.9371428571428595
166,1642879,Ben Saraf,303,12,11,11,5,5.234,45.45454545454545,47.58181818181818,-2.127272727272725
167,1627741,Buddy Hield,327,18,4,14,7,7.298,50.0,52.128571428571426,-2.1285714285714263
168,1630578,Alperen Sengun,1123,55,16,196,84,88.62,42.857142857142854,45.214285714285715,-2.357142857142861
169,1631321,Sidy Cissoko,334,13,4,8,3,3.19,37.5,39.875,-2.375
170,1641706,Brandon Miller,1044,46,18,136,59,62.269000000000005,43.38235294117647,45.78602941176471,-2.4036764705882376
171,1630532,Franz Wagner,507,30,4,60,25,26.579,41.666666666666664,44.29833333333333,-2.6316666666666677
172,1641710,Anthony Black,773,39,14,59,24,25.626,40.67796610169491,43.433898305084746,-2.7559322033898326
173,1630163,LaMelo Ball,1244,51,15,121,50,53.448,41.32231404958678,44.17190082644628,-2.8495867768595033
174,1642258,Zaccharie Risacher,536,35,12,26,12,12.75,46.15384615384615,49.03846153846154,-2.884615384615387
175,1642846,Ace Bailey,892,48,22,86,40,42.502,46.51162790697674,49.420930232558135,-2.9093023255813932
176,1631095,Jabari Smith Jr.,974,53,21,118,53,56.529,44.91525423728814,47.90593220338984,-2.9906779661017
177,1641767,Ben Sheppard,387,26,5,23,11,11.712,47.82608695652174,50.92173913043479,-3.095652173913045
178,1642366,Quinten Post,439,21,10,14,8,8.456,57.142857142857146,60.39999999999999,-3.2571428571428456
179,1630598,Aaron Wiggins,536,29,9,40,18,19.311,45.0,48.277499999999996,-3.2774999999999963
180,1631114,Jalen Williams,446,22,10,75,31,33.536,41.333333333333336,44.71466666666667,-3.3813333333333375
181,1631230,Dominick Barlow,400,22,14,31,15,16.051000000000002,48.38709677419355,51.77741935483871,-3.3903225806451616
182,1627759,Jaylen Brown,1543,46,25,176,72,78.28500000000001,40.90909090909091,44.48011363636364,-3.5710227272727337
183,1642860,Will Riley,618,34,24,59,24,26.257,40.67796610169491,44.50338983050848,-3.8254237288135684
184,1631217,Moussa Diabaté,363,25,9,29,15,16.138,51.724137931034484,55.64827586206897,-3.924137931034487
185,1628389,Bam Adebayo,1145,50,21,158,70,76.241,44.30379746835443,48.253797468354435,-3.950000000000003
186,1641764,Brandin Podziemski,866,50,28,94,37,40.893,39.361702127659576,43.503191489361704,-4.141489361702128
187,1641774,Tristan Vukcevic,317,24,13,39,16,17.644,41.02564102564103,45.24102564102564,-4.2153846153846075
188,1642271,Kyle Filipowski,657,38,14,46,25,27.006,54.34782608695652,58.70869565217391,-4.360869565217385
189,1629627,Zion Williamson,807,29,12,61,29,31.747,47.540983606557376,52.044262295081964,-4.503278688524588
190,203952,Andrew Wiggins,821,45,16,98,42,46.665,42.857142857142854,47.61734693877551,-4.760204081632658
191,1630228,Jonathan Kuminga,339,25,5,56,24,26.669,42.857142857142854,47.62321428571429,-4.766071428571436
192,201566,Russell Westbrook,839,41,16,80,35,38.817,43.75,48.521249999999995,-4.771249999999995
193,1631212,Peyton Watson,581,21,14,41,17,19.045,41.46341463414634,46.45121951219513,-4.987804878048792
194,1631109,Mark Williams,438,26,15,32,14,15.602,43.75,48.75625,-5.006250000000001
195,1642852,Derik Queen,748,46,25,75,31,34.895,41.333333333333336,46.52666666666667,-5.193333333333335
196,203084,Harrison Barnes,576,28,5,37,15,16.979,40.54054054054054,45.88918918918919,-5.348648648648648
197,203471,Dennis Schröder,629,44,20,87,31,35.72,35.632183908045974,41.05747126436781,-5.425287356321839
198,1630591,Jalen Suggs,649,35,15,59,24,27.246000000000002,40.67796610169491,46.17966101694916,-5.501694915254248
